type, lepton.pt(), lepton.eta(), lepton.phi(), b_jet.pt(), b_jet.eta(), b_jet.phi(), etmiss.et(), etmiss.phi(), InvMass, TransMass, lepton.isTruth()
1, 9.135705e+01, -9.227079e-01, 2.449949e+00, 1.364825e+02, 7.074529e-01, -5.761852e-01, 3.482974e+02, 2.083836e+00, 3.021639e+02, 6.494306e+01, 1
1, 2.353833e+02, 5.391564e-01, -2.283616e+00, 5.542862e+01, 6.685009e-01, -1.786262e+00, 6.698346e+02, -2.455716e+00, 6.070847e+01, 6.825227e+01, 1
1, 1.339054e+02, 2.072318e+00, 8.922865e-01, 2.573828e+02, -1.240235e+00, -2.246802e+00, 2.066523e+02, 6.690661e-01, 1.008847e+03, 3.705535e+01, 1
1, 2.105880e+02, -7.406397e-02, -2.674365e+00, 6.192424e+01, 1.069976e-01, 2.922297e+00, 8.268932e+02, -2.846867e+00, 8.183801e+01, 7.189464e+01, 1
1, 1.330778e+02, 7.552653e-01, -2.448060e+00, 1.046116e+03, 3.330788e-01, 7.509269e-01, 3.206992e+02, -2.308202e+00, 7.894039e+02, 2.886922e+01, 1
1, 1.252871e+02, -2.394540e-01, 1.525936e+00, 2.891712e+02, 1.748279e-01, 1.829851e+00, 1.151865e+02, 2.224633e+00, 1.024292e+02, 8.223812e+01, 1
1, 2.244227e+02, -5.697076e-01, 1.242843e+00, 2.859752e+02, -9.418207e-01, 9.088851e-01, 2.723190e+02, 1.258754e+00, 1.308518e+02, 3.933340e+00, 1
1, 2.260276e+02, -1.624434e-01, -5.766590e-01, 1.215704e+02, -5.967770e-01, -4.408316e-01, 2.106107e+02, -3.439932e-01, 7.739584e+01, 5.064931e+01, 1
1, 1.927243e+02, 3.010398e-01, -1.095849e+00, 3.974338e+02, 6.329116e-02, 2.244714e+00, 1.410439e+02, 2.733382e+00, 5.601424e+02, 3.104443e+02, 1
1, 4.648511e+01, -1.536095e+00, -1.411809e+00, 8.868232e+01, 2.147401e+00, 2.434602e+00, 3.222638e+01, 1.038615e+00, 4.129601e+02, 7.283260e+01, 1
1, 5.968315e+02, 2.667105e-01, 1.549825e+00, 6.097332e+01, -4.372407e-02, -2.511172e+00, 1.679414e+02, 1.894075e+00, 3.483078e+02, 1.084508e+02, 1
1, 3.318832e+01, 8.465766e-01, -2.397564e+00, 3.092467e+02, 5.991406e-01, 1.312948e+00, 1.329237e+02, 1.686861e+00, 2.022383e+02, 1.183493e+02, 1
